
2400.3999	20.00005	213.10001
2400.6001	20.00168	213.55
2400.79981	20.00341	213.825
2401	20.00504	213.93333
2401.20019	20.00668	214.15834
2401.3999	20.00841	214.05
2401.6001	20.01004	211.375
2401.79981	20.01178	211.49167
2402	20.01341	211.70833
2402.20019	20.01504	212.20833
2402.3999	20.01667	212.60001
2402.6001	20.0183	212.93333
2402.79981	20.02004	213.26666
2403	20.02167	213.60001
2403.20019	20.0234	213.65834
2403.3999	20.02503	214.05
2403.6001	20.02677	213.43333
2403.79981	20.0284	209.09166
2404	20.03003	209.43333
2404.20019	20.03167	209.70833
2404.3999	20.0334	210.20833
2404.6001	20.03493	210.54167
2404.79981	20.03666	210.99167
2405	20.0384	211.375
2405.20019	20.04003	211.76666
2405.3999	20.04166	212.04167
2405.6001	20.04339	212.325
2405.79981	20.04502	212.60001
2406	20.04666	212.43333
2406.20019	20.04839	210.20833
2406.3999	20.05002	210.43333
2406.6001	20.05166	211.04167
2406.79981	20.05339	211.26666
2407	20.05502	211.70833
2407.20019	20.05665	212.15834
2407.3999	20.05839	212.43333
2407.6001	20.06002	212.70833
2407.79981	20.06165	212.825
2408	20.06338	210.375
2408.20019	20.06502	210.48334
2408.3999	20.06675	210.99167
2408.6001	20.06828	211.20833
2408.79981	20.07001	211.60001
2409	20.07164	211.99167
2409.20019	20.07338	212.43333
2409.3999	20.07501	212.65834
2409.6001	20.07664	213.05
2409.79981	20.07838	213.10001
2410	20.08001	210.99167
2410.20019	20.08174	211.325
2410.3999	20.08338	211.65834
2410.6001	20.085	211.99167
2410.79981	20.08674	212.325
2411	20.08837	212.70833
2411.20019	20.09	213.10001
2411.3999	20.09174	213.43333
2411.6001	20.09337	213.65834
2411.79981	20.095	213.93333
2412	20.09674	209.09166
2412.20019	20.09837	209.375
2412.3999	20.1001	209.64999
2412.6001	20.10163	209.93333
2412.79981	20.10337	210.43333
2413	20.105	210.70833
2413.20019	20.10673	211.10001
2413.3999	20.10836	211.54167
2413.6001	20.11	211.825
2413.79981	20.11173	212.04167
2414	20.11336	212.49167
2414.20019	20.11499	212.70833
2414.3999	20.11673	212.70833
2414.6001	20.11836	209.98334
2414.79981	20.11999	210.20833
2415	20.12172	210.70833
2415.20019	20.12336	211.04167
2415.3999	20.12499	211.49167
2415.6001	20.12672	211.76666
2415.79981	20.12835	212.15834
2416	20.12998	212.43333
2416.20019	20.13172	212.54167
2416.3999	20.13335	212.76666
2416.6001	20.13508	213.10001
2416.79981	20.13661	213.38333
2417	20.13835	213.26666
2417.20019	20.13998	209.43333
2417.3999	20.14171	209.81667
2417.6001	20.14335	210.20833
2417.79981	20.14498	210.60001
2418	20.14671	210.99167
2418.20019	20.14834	211.375
2418.3999	20.14998	211.65834
2418.6001	20.15161	212.04167
2418.79981	20.15334	212.325
2419	20.15497	212.65834
2419.20019	20.1567	212.93333
2419.3999	20.15834	213.15834
2419.6001	20.15997	211.04167
2419.79981	20.16171	210.54167
2420	20.16334	210.875
2420.20019	20.16507	211.26666
2420.3999	20.1667	211.60001
2420.6001	20.16833	212.10001
2420.79981	20.16997	212.43333
2421	20.1717	212.70833
2421.20019	20.17333	212.99167
2421.3999	20.17496	213.26666
2421.6001	20.1767	210.875
2421.79981	20.17833	211.15834
2422	20.18006	211.49167
2422.20019	20.18169	211.875
2422.3999	20.18333	212.20833
2422.6001	20.18506	212.70833
2422.79981	20.18669	212.93333
2423	20.18832	213.26666
2423.20019	20.18996	212.99167
2423.3999	20.19169	211.26666
2423.6001	20.19332	211.60001
2423.79981	20.19506	211.93333
2424	20.19669	212.15834
2424.20019	20.19832	212.70833
2424.3999	20.19995	212.93333
2424.6001	20.20169	213.325
2424.79981	20.20332	213.21666
2425	20.20505	211.15834
2425.20019	20.20668	211.49167
2425.3999	20.20831	211.825
2425.6001	20.21005	212.15834
2425.79981	20.21168	212.60001
2426	20.21331	212.99167
2426.20019	20.21505	213.15834
2426.3999	20.21658	213.43333
2426.6001	20.21831	213.49167
2426.79981	20.21994	213.26666
2427	20.22168	213.21666
2427.20019	20.22331	209.875
2427.3999	20.22504	210.20833
2427.6001	20.22667	210.48334
2427.79981	20.22831	210.875
2428	20.23004	211.26666
2428.20019	20.23167	211.49167
2428.3999	20.2333	211.93333
2428.6001	20.23504	212.26666
2428.79981	20.23667	212.60001
2429	20.2383	212.88333
2429.20019	20.24003	213.21666
2429.3999	20.24167	213.325
2429.6001	20.2434	213.15834
2429.79981	20.24503	210.43333
2430	20.24666	210.76666
2430.20019	20.2484	211.04167
2430.3999	20.25003	211.49167
2430.6001	20.25166	211.825
2430.79981	20.25329	212.15834
2431	20.25503	212.43333
2431.20019	20.25666	212.825
2431.3999	20.25839	213.15834
2431.6001	20.26002	213.43333
2431.79981	20.26166	210.93333
2432	20.26329	210.93333
2432.20019	20.26502	211.375
2432.3999	20.26666	211.65834
2432.6001	20.26839	211.875
